DATE,ASPUS_M
1/1/1962,19300
2/1/1962,19300
3/1/1962,19300
4/1/1962,19300
5/1/1962,19300
6/1/1962,19300
7/1/1962,19300
8/1/1962,19300
9/1/1962,19300
10/1/1962,19300
11/1/1962,19300
12/1/1962,19300
1/1/1963,19300
2/1/1963,19333.33333
3/1/1963,19366.66667
4/1/1963,19400
5/1/1963,19333.33333
6/1/1963,19266.66667
7/1/1963,19200
8/1/1963,19333.33333
9/1/1963,19466.66667
10/1/1963,19600
11/1/1963,19600
12/1/1963,19600
1/1/1964,19600
2/1/1964,19800
3/1/1964,20000
4/1/1964,20200
5/1/1964,20300
6/1/1964,20400
7/1/1964,20500
8/1/1964,20633.33333
9/1/1964,20766.66667
10/1/1964,20900
11/1/1964,21100
12/1/1964,21300
1/1/1965,21500
2/1/1965,21333.33333
3/1/1965,21166.66667
4/1/1965,21000
5/1/1965,21200
6/1/1965,21400
7/1/1965,21600
8/1/1965,21633.33333
9/1/1965,21666.66667
10/1/1965,21700
11/1/1965,22033.33333
12/1/1965,22366.66667
1/1/1966,22700
2/1/1966,22866.66667
3/1/1966,23033.33333
4/1/1966,23200
5/1/1966,23133.33333
6/1/1966,23066.66667
7/1/1966,23000
8/1/1966,22933.33333
9/1/1966,22866.66667
10/1/1966,22800
11/1/1966,23200
12/1/1966,23600
1/1/1967,24000
2/1/1967,24066.66667
3/1/1967,24133.33333
4/1/1967,24200
5/1/1967,24100
6/1/1967,24000
7/1/1967,23900
8/1/1967,24066.66667
9/1/1967,24233.33333
10/1/1967,24400
11/1/1967,24733.33333
12/1/1967,25066.66667
1/1/1968,25400
2/1/1968,25833.33333
3/1/1968,26266.66667
4/1/1968,26700
5/1/1968,26666.66667
6/1/1968,26633.33333
7/1/1968,26600
8/1/1968,26733.33333
9/1/1968,26866.66667
10/1/1968,27000
11/1/1968,27200
12/1/1968,27400
1/1/1969,27600
2/1/1969,27766.66667
3/1/1969,27933.33333
4/1/1969,28100
5/1/1969,28100
6/1/1969,28100
7/1/1969,28100
8/1/1969,27766.66667
9/1/1969,27433.33333
10/1/1969,27100
11/1/1969,27066.66667
12/1/1969,27033.33333
1/1/1970,27000
2/1/1970,27100
3/1/1970,27200
4/1/1970,27300
5/1/1970,26866.66667
6/1/1970,26433.33333
7/1/1970,26000
8/1/1970,26100
9/1/1970,26200
10/1/1970,26300
11/1/1970,26633.33333
12/1/1970,26966.66667
1/1/1971,27300
2/1/1971,27733.33333
3/1/1971,28166.66667
4/1/1971,28600
5/1/1971,28500
6/1/1971,28400
7/1/1971,28300
8/1/1971,28266.66667
9/1/1971,28233.33333
10/1/1971,28200
11/1/1971,28466.66667
12/1/1971,28733.33333
1/1/1972,29000
2/1/1972,29133.33333
3/1/1972,29266.66667
4/1/1972,29400
5/1/1972,29700
6/1/1972,30000
7/1/1972,30300
8/1/1972,30733.33333
9/1/1972,31166.66667
10/1/1972,31600
11/1/1972,32000
12/1/1972,32400
1/1/1973,32800
2/1/1973,33566.66667
3/1/1973,34333.33333
4/1/1973,35100
5/1/1973,35366.66667
6/1/1973,35633.33333
7/1/1973,35900
8/1/1973,36133.33333
9/1/1973,36366.66667
10/1/1973,36600
11/1/1973,37066.66667
12/1/1973,37533.33333
1/1/1974,38000
2/1/1974,38200
3/1/1974,38400
4/1/1974,38600
5/1/1974,38733.33333
6/1/1974,38866.66667
7/1/1974,39000
8/1/1974,39100
9/1/1974,39200
10/1/1974,39300
11/1/1974,39833.33333
12/1/1974,40366.66667
1/1/1975,40900
2/1/1975,41466.66667
3/1/1975,42033.33333
4/1/1975,42600
5/1/1975,42466.66667
6/1/1975,42333.33333
7/1/1975,42200
8/1/1975,42933.33333
9/1/1975,43666.66667
10/1/1975,44400
11/1/1975,44933.33333
12/1/1975,45466.66667
1/1/1976,46000
2/1/1976,46600
3/1/1976,47200
4/1/1976,47800
5/1/1976,47900
6/1/1976,48000
7/1/1976,48100
8/1/1976,48833.33333
9/1/1976,49566.66667
10/1/1976,50300
11/1/1976,50733.33333
12/1/1976,51166.66667
1/1/1977,51600
2/1/1977,52500
3/1/1977,53400
4/1/1977,54300
5/1/1977,54200
6/1/1977,54100
7/1/1977,54000
8/1/1977,55166.66667
9/1/1977,56333.33333
10/1/1977,57500
11/1/1977,58100
12/1/1977,58700
1/1/1978,59300
2/1/1978,60066.66667
3/1/1978,60833.33333
4/1/1978,61600
5/1/1978,62233.33333
6/1/1978,62866.66667
7/1/1978,63500
8/1/1978,64466.66667
9/1/1978,65433.33333
10/1/1978,66400
11/1/1978,67033.33333
12/1/1978,67666.66667
1/1/1979,68300
